gene_name,egg_seed_ortholog,egg_evalue,egg_score,eggNOG_OGs,egg_max_annot_lvl,egg_COG_category,egg_Description,egg_Preferred_name,egg_GOs,egg_EC,egg_KEGG_ko,egg_KEGG_Pathway,egg_KEGG_Module,egg_KEGG_Reaction,egg_KEGG_rclass,egg_BRITE,egg_KEGG_TC,egg_CAZy,egg_BiGG_Reaction,egg_PFAMs,KO_pass,KO,KO_thrshld,KO_score,KO_E-value,KO_definition,deepsig_feature,deepsig_start,deepsig_end,deepsig_sp_score,deepsig_sp_evidence,Length,species_name,is_tick,KO_high_score
Amblyomma-sculptum_GEEX01001784.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,K20668,41.30,10.5,0.26,defensin,Signal peptide,1,16,0.98,evidence=ECO:0000256,153,Amblyomma-sculptum,yes,10.5
Amblyomma-sculptum_GEEX01001944.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,22,0.99,evidence=ECO:0000256,110,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01002013.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,20,0.98,evidence=ECO:0000256,103,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01002033.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan;nan,K09168;K26024;K11244;K13582;K06261,847.97;161.07;102.23;270.60;246.30,11.2;11.1;11.0;4.4;4.0,0.078;0.11;0.11;6.9;7.7,nuclear factor I/A;Herpesviridae envelope glycoprotein I;cell wall integrity and stress response component;localization factor PodJL;platelet glycoprotein Ib alpha chain,Signal peptide,1,24,0.98,evidence=ECO:0000256,731,Amblyomma-sculptum,yes,11.2
Amblyomma-sculptum_GEEX01002088.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan,K25719;K23489,nan;786.20,17.5;7.7,0.0019;0.33,plasminogen-like protein B;HGF/MSP/plasminogen-like protein,Signal peptide,1,23,1.0,evidence=ECO:0000256,1002,Amblyomma-sculptum,yes,17.5
Amblyomma-sculptum_GEEX01002114.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,17,0.98,evidence=ECO:0000256,223,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01002216.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,21,0.99,evidence=ECO:0000256,305,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01002345.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan;nan,K25030;K23641;K10955;K22023;K05038,1154.00;90.80;2977.13;1179.53;979.40,14.3;11.7;11.3;10.3;8.3,0.0015;0.13;0.0074;0.026;0.33,"otogelin;WAP four-disulfide core domain protein 12;mucin-2;mucin-6/19;solute carrier family 6 (neurotransmitter transporter, glycine) member 5/9",Signal peptide,1,20,1.0,evidence=ECO:0000256,655,Amblyomma-sculptum,yes,14.3
Amblyomma-sculptum_GEEX01002448.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,22,1.0,evidence=ECO:0000256,156,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01002529.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan,K12741;K13090;K15047,350.23;1049.60;791.47,5.7;5.1;2.5,5.2;3.5;25,heterogeneous nuclear ribonucleoprotein A1/A3;interleukin enhancer-binding factor 3;heterogeneous nuclear ribonucleoprotein U-like protein 1,Signal peptide,1,19,1.0,evidence=ECO:0000256,189,Amblyomma-sculptum,yes,5.7
Amblyomma-sculptum_GEEX01002547.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,32,0.73,evidence=ECO:0000256,138,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01002654.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,28,0.79,evidence=ECO:0000256,180,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01002656.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,15,0.99,evidence=ECO:0000256,208,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01002672.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,21,0.99,evidence=ECO:0000256,177,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01002726.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,19,1.0,evidence=ECO:0000256,167,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01002759.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,18,0.93,evidence=ECO:0000256,159,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01002825.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,19,0.88,evidence=ECO:0000256,315,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01002828.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan;nan,K01301;K14592;K23910;K06503;K18996,516.70;1203.07;963.00;880.17;95.83,69.3;67.9;18.8;17.5;13.0,1.3e-19;3.4e-19;0.00021;0.00062;0.029,N-acetylated-alpha-linked acidic dipeptidase [EC:3.4.17.21];glutamate carboxypeptidase II (folate hydrolase 1) [EC:3.4.17.21];transferrin receptor protein 2;transferrin receptor;replication initiation protein RepC,Signal peptide,1,21,0.8,evidence=ECO:0000256,173,Amblyomma-sculptum,yes,69.3
Amblyomma-sculptum_GEEX01002840.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,19,1.0,evidence=ECO:0000256,208,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01002881.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,20,0.99,evidence=ECO:0000256,178,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01002900.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan;nan,K13044;K12741;K03102;K14317;K12284,311.80;350.23;324.50;211.60;111.43,17.6;15.4;10.3;7.6;6.6,0.0014;0.0057;0.21;0.43;2.9,heterogeneous nuclear ribonucleoprotein A/B/D;heterogeneous nuclear ribonucleoprotein A1/A3;squid;nuclear pore complex protein Nup214;MSHA biogenesis protein MshN,Signal peptide,1,16,0.75,evidence=ECO:0000256,224,Amblyomma-sculptum,yes,17.6
Amblyomma-sculptum_GEEX01002903.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan;nan,K06449;K05740;K25079;K12387;K23957,133.23;1519.70;144.67;45.80;437.00,16.5;12.8;11.4;11.4;10.6,0.0022;0.011;0.13;0.09;0.055,T-cell surface glycoprotein CD2;diaphanous 1;RNA-binding protein 42;lysosomal-associated transmembrane protein;formic-like protein,Signal peptide,1,14,0.86,evidence=ECO:0000256,136,Amblyomma-sculptum,yes,16.5
Amblyomma-sculptum_GEEX01002969.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan;nan,K13023;K17256;K23533;K18808;K06260,398.70;378.80;375.27;524.03;386.03,110.3;88.6;85.6;84.9;77.3,4.7e-32;1.6e-25;1.3e-24;1.7e-24;2.9e-22,carboxypeptidase N regulatory subunit;insulin-like growth factor-binding protein complex acid labile subunit;leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein;toll-like receptor 13;platelet glycoprotein V,Signal peptide,1,21,1.0,evidence=ECO:0000256,313,Amblyomma-sculptum,yes,110.3
Amblyomma-sculptum_GEEX01002997.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,K14463,280.10,34.2,5.3e-09,microsomal triglyceride transfer protein large subunit,Signal peptide,1,18,0.97,evidence=ECO:0000256,277,Amblyomma-sculptum,yes,34.2
Amblyomma-sculptum_GEEX01003023.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan,K14460;K25413,48.53;111.83,34.3;25.7,1.1e-08;5.5e-06,colipase;colipase-like protein 2,Signal peptide,1,20,1.0,evidence=ECO:0000256,122,Amblyomma-sculptum,yes,34.3
Amblyomma-sculptum_GEEX01003051.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,16,1.0,evidence=ECO:0000256,219,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01003101.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,27,1.0,evidence=ECO:0000256,116,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01003128.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,26,1.0,evidence=ECO:0000256,101,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01003256.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan,K24496;K15706;K24958;K05114,390.10;520.10;193.80;1558.43,25.3;13.7;12.9;10.6,2.1e-06;0.014;0.02;0.042,nephron;E3 ubiquitin-protein ligase RNF167 [EC:2.3.2.27];Herpesviridae envelope glycoprotein E;Eph receptor B6 [EC:2.7.10.1],Signal peptide,1,24,0.99,evidence=ECO:0000256,283,Amblyomma-sculptum,yes,25.3
Amblyomma-sculptum_GEEX01003338.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Signal peptide,1,28,0.77,evidence=ECO:0000256,157,Amblyomma-sculptum,yes,0.0
Amblyomma-sculptum_GEEX01003359.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan;nan,K11244;K12397;K08608;K06540;K11227,102.23;468.50;1163.67;905.17;527.93,19.6;13.1;11.2;11.1;8.3,0.00027;0.01;0.055;0.061;0.62,cell wall integrity and stress response component;AP-3 complex subunit beta;disintegrin and metalloproteinase domain-containing protein 19 [EC:3.4.24.-];disintegrin and metalloproteinase domain-containing protein 8 [EC:3.4.24.-];mitogen-activated protein kinase kinase [EC:2.7.12.2],Signal peptide,1,23,0.95,evidence=ECO:0000256,285,Amblyomma-sculptum,yes,19.6
