gene_name,egg_seed_ortholog,egg_evalue,egg_score,eggNOG_OGs,egg_max_annot_lvl,egg_COG_category,egg_Description,egg_Preferred_name,egg_GOs,egg_EC,egg_KEGG_ko,egg_KEGG_Pathway,egg_KEGG_Module,egg_KEGG_Reaction,egg_KEGG_rclass,egg_BRITE,egg_KEGG_TC,egg_CAZy,egg_BiGG_Reaction,egg_PFAMs,KO_pass,KO,KO_thrshld,KO_score,KO_E-value,KO_definition,deepsig_feature,deepsig_start,deepsig_end,deepsig_sp_score,deepsig_sp_evidence,Length,species_name,is_tick,KO_high_score
Amblyomma-sculptum_GEEX01002524.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan;nan,K02981;K14563;K13199;K12623;K17446,239.87;307.20;227.20;82.50;1603.23,16.8;16.2;10.9;10.9;9.3,0.002;0.0028;0.13;0.18;0.13,small subunit ribosomal protein S2e;rRNA 2'-O-methyltransferase fibrillarin [EC:2.1.1.-];plasminogen activator inhibitor 1 RNA-binding protein;U6 snRNA-associated Sm-like protein LSm4;insulin receptor substrate 4,Signal peptide,1,19,1.0,evidence=ECO:0000256,219,Amblyomma-sculptum,yes,16.8
Rhipicephalus-sanguineus_XP-049266816.1,126957.SMAR012896-PA,5.28e-19,90.5,"COG4886@1|root,KOG3510@1|root,KOG3538@1|root,KOG4295@1|root,KOG3510@2759|Eukaryota,KOG3540@2759|Eukaryota,KOG4194@2759|Eukaryota,KOG4597@2759|Eukaryota,38EQB@33154|Opisthokonta,3BB8S@33208|Metazoa,3E52Q@33213|Bilateria,41VU2@6656|Arthropoda",6656|Arthropoda,O,serine-type endopeptidase inhibitor activity,-,"GO:0003674,GO:0005198,GO:0005201,GO:0005575,GO:0005576,GO:0005604,GO:0008150,GO:0009987,GO:0016043,GO:0030198,GO:0031012,GO:0043062,GO:0044421,GO:0062023,GO:0071840",-,-,-,-,-,-,-,-,-,-,"ADAM_spacer1,I-set,Ig_3,Kunitz_BPTI,PLAC,TSP_1,WAP",nan;nan;nan;nan;nan,K23087;K23620;K03909;K23621;K23624,235.4;178.23;265.7;262.23;596.23,103.0;100.4;90.1;88.7;84.1,2.0000000000000002e-29;6.9e-29;1.9999999999999998e-25;3.9999999999999997e-25;4.899999999999999e-24,"tissue factor pathway inhibitor 2;protein AMBP;tissue factor pathway inhibitor;WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein;papilin",Chain,1,151,.,evidence=ECO:0000256,151,Rhipicephalus-sanguineus,yes,103.0
Rhipicephalus-sanguineus_XP-049266955.1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan,K23087;K23624;K03909;K23620,235.4;596.23;265.7;178.23,27.8;21.8;16.1;4.8,1.7e-06;2.8e-05;0.0058;5.6,tissue factor pathway inhibitor 2;papilin;tissue factor pathway inhibitor;protein AMBP,Chain,1,154,.,evidence=ECO:0000256,154,Rhipicephalus-sanguineus,yes,27.8
Rhipicephalus-sanguineus_XP-049267030.1,8479.XP_005314644.1,6.73e-93,298.0,"KOG3538@1|root,KOG4597@2759|Eukaryota,38EQB@33154|Opisthokonta,3BB8S@33208|Metazoa,3E52Q@33213|Bilateria,485NV@7711|Chordata,4994V@7742|Vertebrata,4CJ8V@8459|Testudines",8459|Testudines,O,BPTI/Kunitz family of serine protease inhibitors.,-,-,-,-,-,-,-,-,-,-,-,-,Kunitz_BPTI,nan;nan;nan;nan;nan,K23624;K03909;K08117;K23421;K23087,596.23;265.7;1014.77;205.2;235.4,328.0;253.6;208.8;171.9;158.8,1.3e-97;5.099999999999999e-75;2e-61;1.9e-50;2.1e-46,papilin;tissue factor pathway inhibitor;amyloid-like protein 2;Kunitz-type protease inhibitor 2;tissue factor pathway inhibitor 2,Chain,1,356,.,evidence=ECO:0000256,356,Rhipicephalus-sanguineus,yes,328.0
Rhipicephalus-sanguineus_XP-049267031.1,8496.XP_006278240.1,1.96e-27,115.0,"KOG3538@1|root,KOG4597@2759|Eukaryota,38BUH@33154|Opisthokonta,3BH5X@33208|Metazoa,3CSSS@33213|Bilateria,484W2@7711|Chordata,490EZ@7742|Vertebrata",7742|Vertebrata,O,metalloendopeptidase inhibitor activity,WFIKKN1,"GO:0001501,GO:0003674,GO:0005102,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0007275,GO:0008150,GO:0009892,GO:0009966,GO:0009968,GO:0009987,GO:0010469,GO:0010605,GO:0010646,GO:0010648,GO:0017015,GO:0019222,GO:0019838,GO:0019955,GO:0023051,GO:0023057,GO:0030154,GO:0030162,GO:0030512,GO:0030545,GO:0030547,GO:0031323,GO:0031324,GO:0032091,GO:0032268,GO:0032269,GO:0032501,GO:0032502,GO:0042692,GO:0043392,GO:0043393,GO:0044092,GO:0045861,GO:0048019,GO:0048468,GO:0048519,GO:0048523,GO:0048583,GO:0048585,GO:0048731,GO:0048747,GO:0048856,GO:0048869,GO:0050431,GO:0050789,GO:0050794,GO:0051098,GO:0051100,GO:0051101,GO:0051146,GO:0051171,GO:0051172,GO:0051246,GO:0051248,GO:0055001,GO:0055002,GO:0060021,GO:0060255,GO:0061061,GO:0065007,GO:0065009,GO:0080090,GO:0090092,GO:0090101,GO:0090287,GO:0090288,GO:0098772,GO:1900115,GO:1900116,GO:1903844,GO:1903845,GO:2000272",-,-,-,-,-,-,-,-,-,-,"I-set,Ig_3,Kunitz_BPTI,NTR,WAP",nan;nan;nan;nan;nan,K23087;K03909;K23624;K23621;K23620,235.4;265.7;596.23;262.23;178.23,182.5;176.6;156.1;126.7;116.3,1.1999999999999998e-53;1.1e-51;9.099999999999999e-46;1.3e-36;1.1e-33,"tissue factor pathway inhibitor 2;tissue factor pathway inhibitor;papilin;WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein;protein AMBP",Chain,1,193,.,evidence=ECO:0000256,193,Rhipicephalus-sanguineus,yes,182.5
Rhipicephalus-sanguineus_XP-049267037.1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan;nan,K23087;K23624;K23421;K03909;K23620,235.4;596.23;205.2;265.7;178.23,22.6;19.0;19.0;18.6;16.4,6.4e-05;0.0002;0.00074;0.00099;0.0017,tissue factor pathway inhibitor 2;papilin;Kunitz-type protease inhibitor 2;tissue factor pathway inhibitor;protein AMBP,Chain,1,210,.,evidence=ECO:0000256,210,Rhipicephalus-sanguineus,yes,22.6
Rhipicephalus-sanguineus_XP-049267082.1,6500.XP_005111323.1,3.66e-12,73.2,"KOG3538@1|root,KOG4597@2759|Eukaryota,38EQB@33154|Opisthokonta,3BB8S@33208|Metazoa",33208|Metazoa,OT,serine-type endopeptidase inhibitor activity,-,-,-,-,-,-,-,-,-,-,-,-,"Kunitz_BPTI,WAP",nan;nan;nan;nan;nan,K23087;K23624;K03909;K23421;K23621,235.4;596.23;265.7;205.2;262.23,119.2;96.8;84.6;84.0;65.7,2.4e-34;7.3000000000000005e-28;9.499999999999999e-24;1.2e-23;3.5e-18,"tissue factor pathway inhibitor 2;papilin;tissue factor pathway inhibitor;Kunitz-type protease inhibitor 2;WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein",Chain,1,229,.,evidence=ECO:0000256,229,Rhipicephalus-sanguineus,yes,119.2
Rhipicephalus-sanguineus_XP-049267156.1,28377.ENSACAP00000000109,1.92e-24,104.0,"KOG4295@1|root,KOG4295@2759|Eukaryota,38ES0@33154|Opisthokonta,3BEEM@33208|Metazoa,3CZR5@33213|Bilateria",33213|Bilateria,O,tissue factor pathway inhibitor,-,-,-,-,-,-,-,-,-,-,-,-,"Kunitz_BPTI,Lustrin_cystein,Thyroglobulin_1",nan;nan;nan;nan;nan,K03909;K23421;K23624;K23087;K08117,265.7;205.2;596.23;235.4;1014.77,180.7;165.1;144.0;140.6;102.9,6.399999999999999e-53;2.3e-48;4.1e-42;7.399999999999999e-41;2.2e-29,tissue factor pathway inhibitor;Kunitz-type protease inhibitor 2;papilin;tissue factor pathway inhibitor 2;amyloid-like protein 2,Chain,1,257,.,evidence=ECO:0000256,257,Rhipicephalus-sanguineus,yes,180.7
Rhipicephalus-sanguineus_XP-049267158.1,7213.XP_004530675.1,3.71e-35,138.0,"KOG1217@1|root,KOG3538@1|root,KOG4295@1|root,KOG4475@1|root,KOG1217@2759|Eukaryota,KOG4295@2759|Eukaryota,KOG4475@2759|Eukaryota,KOG4597@2759|Eukaryota,38EQB@33154|Opisthokonta,3BB8S@33208|Metazoa,3E52Q@33213|Bilateria,41VU2@6656|Arthropoda,3SI1P@50557|Insecta,44ZFI@7147|Diptera",7147|Diptera,O,serine-type endopeptidase inhibitor activity,-,"GO:0003674,GO:0005198,GO:0005201,GO:0005575,GO:0005576,GO:0005604,GO:0008150,GO:0009987,GO:0016043,GO:0030198,GO:0031012,GO:0043062,GO:0044421,GO:0062023,GO:0071840",-,-,-,-,-,-,-,-,-,-,"ADAM_spacer1,I-set,Ig_3,Kunitz_BPTI,PLAC,TSP_1,WAP",nan;nan;nan;nan;nan,K23087;K23624;K03909;K23620;K08117,235.4;596.23;265.7;178.23;1014.77,216.1;197.3;175.0;132.1;128.5,7.2e-64;3.5e-58;3.6e-51;1.9000000000000002e-38;3.8e-37,tissue factor pathway inhibitor 2;papilin;tissue factor pathway inhibitor;protein AMBP;amyloid-like protein 2,Chain,1,184,.,evidence=ECO:0000256,184,Rhipicephalus-sanguineus,yes,216.1
Rhipicephalus-sanguineus_XP-049267159.1,28737.XP_006879005.1,2.28e-60,207.0,"KOG4295@1|root,KOG4295@2759|Eukaryota,38ES0@33154|Opisthokonta,3BEEM@33208|Metazoa,3CZR5@33213|Bilateria,4880D@7711|Chordata,490DC@7742|Vertebrata,3J93Y@40674|Mammalia,353AI@311790|Afrotheria",311790|Afrotheria,O,Tissue factor pathway inhibitor,TFPI,-,-,ko:K03909,"ko04610,map04610",-,-,-,"ko00000,ko00001,ko00536",-,-,-,Kunitz_BPTI,nan;nan;nan;nan;nan,K03909;K23624;K08117;K23421;K23087,265.7;596.23;1014.77;205.2;235.4,247.7;217.4;210.4;159.0;158.9,3.1000000000000003e-73;3.1e-64;6.7e-62;1.6e-46;1.9e-46,tissue factor pathway inhibitor;papilin;amyloid-like protein 2;Kunitz-type protease inhibitor 2;tissue factor pathway inhibitor 2,Chain,1,369,.,evidence=ECO:0000256,369,Rhipicephalus-sanguineus,yes,247.7
Rhipicephalus-sanguineus_XP-049267160.1,8479.XP_005314644.1,3.58e-45,169.0,"KOG3538@1|root,KOG4597@2759|Eukaryota,38EQB@33154|Opisthokonta,3BB8S@33208|Metazoa,3E52Q@33213|Bilateria,485NV@7711|Chordata,4994V@7742|Vertebrata,4CJ8V@8459|Testudines",8459|Testudines,O,BPTI/Kunitz family of serine protease inhibitors.,-,-,-,-,-,-,-,-,-,-,-,-,Kunitz_BPTI,nan;nan;nan;nan;nan,K23087;K08117;K03909;K23421;K23624,235.4;1014.77;265.7;205.2;596.23,225.0;180.3;168.5;166.7;146.8,1.4e-66;8.1e-53;3.2999999999999997e-49;7.699999999999999e-49;6e-43,tissue factor pathway inhibitor 2;amyloid-like protein 2;tissue factor pathway inhibitor;Kunitz-type protease inhibitor 2;papilin,Chain,1,284,.,evidence=ECO:0000256,284,Rhipicephalus-sanguineus,yes,225.0
Rhipicephalus-sanguineus_XP-049267186.1,13037.EHJ70332,3.03e-09,61.6,"KOG3538@1|root,KOG4475@1|root,KOG4475@2759|Eukaryota,KOG4597@2759|Eukaryota,38EQB@33154|Opisthokonta,3BB8S@33208|Metazoa,3E52Q@33213|Bilateria,41VU2@6656|Arthropoda,3SI1P@50557|Insecta,442AC@7088|Lepidoptera",7088|Lepidoptera,O,BPTI/Kunitz family of serine protease inhibitors.,-,-,-,-,-,-,-,-,-,-,-,-,"I-set,Kunitz_BPTI,PLAC",nan;nan;nan;nan;nan,K23421;K03909;K23087;K23622;K23640,205.2;265.7;235.4;195.2;216.03,74.9;68.0;67.7;67.6;66.9,7.2e-21;1e-18;1.2e-18;1.5e-18;2e-18,Kunitz-type protease inhibitor 2;tissue factor pathway inhibitor;tissue factor pathway inhibitor 2;eppin;WAP four-disulfide core domain protein 6,Chain,1,129,.,evidence=ECO:0000256,129,Rhipicephalus-sanguineus,yes,74.9
Rhipicephalus-sanguineus_XP-049267358.1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan;nan,K23624;K03909;K23087;K23621;K23620,596.23;265.7;235.4;262.23;178.23,113.7;86.1;80.9;74.3;73.9,5.7e-33;3.3e-24;1.1e-22;8.7e-21;7.1e-21,"papilin;tissue factor pathway inhibitor;tissue factor pathway inhibitor 2;WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein;protein AMBP",Chain,1,425,.,evidence=ECO:0000256,425,Rhipicephalus-sanguineus,yes,113.7
Rhipicephalus-sanguineus_XP-049269788.1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan,K23087;K23620,235.4;178.23,21.6;8.3,0.00013;0.5,tissue factor pathway inhibitor 2;protein AMBP,Chain,1,126,.,evidence=ECO:0000256,126,Rhipicephalus-sanguineus,yes,21.6
Rhipicephalus-sanguineus_XP-049270236.1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan;nan,K23621;K23087;K03909;K23620;K23422,262.23;235.4;265.7;178.23;109.37,44.7;27.4;25.0;20.4;15.4,8.2e-12;2.3e-06;1.1e-05;0.0001;0.015,"WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein;tissue factor pathway inhibitor 2;tissue factor pathway inhibitor;protein AMBP;Kunitz-type protease inhibitor 3",Chain,1,216,.,evidence=ECO:0000256,216,Rhipicephalus-sanguineus,yes,44.7
Rhipicephalus-sanguineus_XP-049271452.1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan;nan,K23621;K23087;K03909;K23620;K23421,262.23;235.4;265.7;178.23;205.2,45.0;37.2;16.6;13.6;10.8,6.6e-12;2.3e-09;0.0039;0.012;0.23,"WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein;tissue factor pathway inhibitor 2;tissue factor pathway inhibitor;protein AMBP;Kunitz-type protease inhibitor 2",Chain,1,196,.,evidence=ECO:0000256,196,Rhipicephalus-sanguineus,yes,45.0
Rhipicephalus-sanguineus_XP-049272514.1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan;nan,K23621;K23087;K23620;K03909;K13092,262.23;235.4;178.23;265.7;71.2,49.3;49.3;19.1;18.1;15.4,3.2e-13;4.7e-13;0.00027;0.0014;0.0029,"WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein;tissue factor pathway inhibitor 2;protein AMBP;tissue factor pathway inhibitor;nuclear protein NHN1",Chain,1,595,.,evidence=ECO:0000256,595,Rhipicephalus-sanguineus,yes,49.3
Rhipicephalus-sanguineus_XP-049272515.1,103372.F4WH21,4.81e-17,95.1,"2CY6V@1|root,2S2FX@2759|Eukaryota,3A4QM@33154|Opisthokonta,3BRCK@33208|Metazoa,3D8QR@33213|Bilateria,41ZTN@6656|Arthropoda,3SN2I@50557|Insecta,46KI0@7399|Hymenoptera",7399|Hymenoptera,S,Chitin-binding domain type 2,-,-,-,-,-,-,-,-,-,-,-,-,CBM_14,nan;nan;nan;nan;nan,K23489;K06817;K23087;K25320;K18439,786.2;169.07;235.4;325.0;1436.57,29.5;13.8;11.6;11.2;10.0,1.6e-07;0.028;0.15;0.16;0.13,"HGF/MSP/plasminogen-like protein;podocalyxin-like;tissue factor pathway inhibitor 2;Norovirus protein p48;Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1",Chain,1,748,.,evidence=ECO:0000256,748,Rhipicephalus-sanguineus,yes,29.5
Rhipicephalus-sanguineus_XP-049272804.1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan;nan,K23621;K23087;K23620;K23422;K23624,262.23;235.4;178.23;109.37;596.23,26.8;24.3;22.8;20.4;19.1,2.2e-06;2e-05;2.1e-05;0.0004;0.0002,"WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein;tissue factor pathway inhibitor 2;protein AMBP;Kunitz-type protease inhibitor 3;papilin",Chain,1,126,.,evidence=ECO:0000256,126,Rhipicephalus-sanguineus,yes,26.8
Rhipicephalus-sanguineus_XP-049274228.1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan;nan,K23620;K23087;K03909;K23640;K23422,178.23;235.4;265.7;216.03;109.37,66.7;22.4;18.5;16.0;15.0,1.1e-18;7.3e-05;0.0011;0.0078;0.02,protein AMBP;tissue factor pathway inhibitor 2;tissue factor pathway inhibitor;WAP four-disulfide core domain protein 6;Kunitz-type protease inhibitor 3,Chain,1,272,.,evidence=ECO:0000256,272,Rhipicephalus-sanguineus,yes,66.7
Rhipicephalus-sanguineus_XP-049274445.1,8479.XP_005314644.1,9.34e-08,62.0,"KOG3538@1|root,KOG4597@2759|Eukaryota,38EQB@33154|Opisthokonta,3BB8S@33208|Metazoa,3E52Q@33213|Bilateria,485NV@7711|Chordata,4994V@7742|Vertebrata,4CJ8V@8459|Testudines",8459|Testudines,O,BPTI/Kunitz family of serine protease inhibitors.,-,-,-,-,-,-,-,-,-,-,-,-,Kunitz_BPTI,nan;nan;nan;nan;nan,K23620;K23624;K23087;K03909;K23640,178.23;596.23;235.4;265.7;216.03,62.6;58.5;45.4;34.2;26.4,1.9e-17;2.5e-16;7.6e-12;1.8e-08;5.1e-06,protein AMBP;papilin;tissue factor pathway inhibitor 2;tissue factor pathway inhibitor;WAP four-disulfide core domain protein 6,Chain,1,320,.,evidence=ECO:0000256,320,Rhipicephalus-sanguineus,yes,62.6
Rhipicephalus-sanguineus_XP-049276343.1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan;nan,K23422;K23421;K23622;K23087;K23621,109.37;205.2;195.2;235.4;262.23,21.0;19.8;19.6;19.2;18.8,0.00026;0.00043;0.00063;0.00073;0.00058,"Kunitz-type protease inhibitor 3;Kunitz-type protease inhibitor 2;eppin;tissue factor pathway inhibitor 2;WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein",Chain,1,192,.,evidence=ECO:0000256,192,Rhipicephalus-sanguineus,yes,21.0
Ornithodoros-turicata_GDIC01013639.1.p1,8479.XP_005314644.1,5.1e-10,63.2,"KOG3538@1|root,KOG4597@2759|Eukaryota,38EQB@33154|Opisthokonta,3BB8S@33208|Metazoa,3E52Q@33213|Bilateria,485NV@7711|Chordata,4994V@7742|Vertebrata,4CJ8V@8459|Testudines",8459|Testudines,O,BPTI/Kunitz family of serine protease inhibitors.,-,-,-,-,-,-,-,-,-,-,-,-,Kunitz_BPTI,nan;nan;nan;nan;nan,K03909;K23622;K23624;K23621;K23087,265.7;195.2;596.23;262.23;235.4,67.5;67.0;64.4;63.4;63.2,2.1e-18;3.2e-18;5.9e-18;2.5e-17;4e-17,"tissue factor pathway inhibitor;eppin;papilin;WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein;tissue factor pathway inhibitor 2",Signal peptide,1,21,1.0,evidence=ECO:0000256,115,Ornithodoros-turicata,yes,67.5
Ornithodoros-turicata_GDIC01016235.1.p1,281687.CJA01042,6.16e-25,110.0,"KOG3538@1|root,KOG4597@2759|Eukaryota,3ANHR@33154|Opisthokonta,3C14B@33208|Metazoa,3DHK2@33213|Bilateria,40K25@6231|Nematoda,1M3EG@119089|Chromadorea,4105P@6236|Rhabditida",6236|Rhabditida,O,PLAC (protease and lacunin) domain,-,-,-,-,-,-,-,-,-,-,-,-,"I-set,Kunitz_BPTI,PLAC",nan;nan;nan;nan;nan,K03909;K23624;K23087;K23421;K23620,265.7;596.23;235.4;205.2;178.23,161.6;149.6;138.5;107.8;104.5,5.6999999999999995e-47;1.1999999999999999e-43;4.5e-40;9.1e-31;5.8000000000000005e-30,tissue factor pathway inhibitor;papilin;tissue factor pathway inhibitor 2;Kunitz-type protease inhibitor 2;protein AMBP,Signal peptide,1,19,0.98,evidence=ECO:0000256,284,Ornithodoros-turicata,yes,161.6
Ornithodoros-turicata_GDIC01022841.1.p1,32264.tetur23g01280.1,6.35e-45,152.0,"2CECT@1|root,2S5QE@2759|Eukaryota,3A5UW@33154|Opisthokonta,3BSRX@33208|Metazoa,3D9GF@33213|Bilateria,420D5@6656|Arthropoda",6656|Arthropoda,S,chitin binding. It is involved in the biological process described with chitin metabolic process,-,-,-,-,-,-,-,-,-,-,-,-,CBM_14,nan;nan;nan,K23087;K20668;K25469,235.4;41.3;40.4,13.9;13.9;13.0,0.04;0.056;0.093,tissue factor pathway inhibitor 2;defensin;secretoglobin family 3A,Signal peptide,1,21,0.84,evidence=ECO:0000256,167,Ornithodoros-turicata,yes,13.9
Ornithodoros-turicata_GDIC01060559.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan;nan,K23087;K03909;K23620;K23421;K23622,235.4;265.7;178.23;205.2;195.2,59.1;56.8;49.0;47.4;46.1,7.2e-16;3.5e-15;3.4e-13;2.4e-12;7.5e-12,tissue factor pathway inhibitor 2;tissue factor pathway inhibitor;protein AMBP;Kunitz-type protease inhibitor 2;eppin,Signal peptide,1,16,1.0,evidence=ECO:0000256,100,Ornithodoros-turicata,yes,59.1
Ornithodoros-turicata_GDIE01023044.1.p1,9986.ENSOCUP00000006469,1.92e-11,68.6,"KOG3544@1|root,KOG3544@2759|Eukaryota,38DGH@33154|Opisthokonta,3BA28@33208|Metazoa,3CSNV@33213|Bilateria,48QB3@7711|Chordata,48Y2Q@7742|Vertebrata,3J85D@40674|Mammalia,35FDS@314146|Euarchontoglires",314146|Euarchontoglires,W,von Willebrand factor (vWF) type A domain,COL6A3,"GO:0005575,GO:0005576,GO:0005581,GO:0005589,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005788,GO:0007275,GO:0007517,GO:0008150,GO:0009987,GO:0012505,GO:0016043,GO:0030198,GO:0031012,GO:0031974,GO:0032501,GO:0032502,GO:0032991,GO:0043062,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044421,GO:0044422,GO:0044424,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0048513,GO:0048731,GO:0048856,GO:0061061,GO:0070013,GO:0071840,GO:0098647,GO:0099080,GO:0099081,GO:0099512",-,ko:K06238,"ko04151,ko04510,ko04512,ko04974,ko05165,map04151,map04510,map04512,map04974,map05165",-,-,-,"ko00000,ko00001,ko00536,ko04147,ko04516",-,-,-,"Collagen,Kunitz_BPTI,VWA",nan;nan;nan;nan;nan,K03909;K23087;K23622;K23421;K23624,265.7;235.4;195.2;205.2;596.23,89.1;85.8;84.9;78.7;78.5,5.6e-25;4.899999999999999e-24;1.1e-23;6.9e-22;3.2000000000000003e-22,tissue factor pathway inhibitor;tissue factor pathway inhibitor 2;eppin;Kunitz-type protease inhibitor 2;papilin,Signal peptide,1,20,0.96,evidence=ECO:0000256,145,Ornithodoros-turicata,yes,89.1
Ornithodoros-turicata_GDIE01029148.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan;nan,K23621;K23087;K23421;K03909;K23422,262.23;235.4;205.2;265.7;109.37,32.1;31.6;30.6;30.3;26.0,7.3e-08;1.6e-07;3.2e-07;4e-07;1e-05,"WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein;tissue factor pathway inhibitor 2;Kunitz-type protease inhibitor 2;tissue factor pathway inhibitor;Kunitz-type protease inhibitor 3",Signal peptide,1,31,0.86,evidence=ECO:0000256,101,Ornithodoros-turicata,yes,32.1
Ornithodoros-turicata_GDIE01041089.1.p2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan;nan,K23422;K03909;K23640;K23421;K23087,109.37;265.7;216.03;205.2;235.4,32.8;30.9;30.6;28.4;27.6,8e-08;2.5e-07;3.6e-07;1.5e-06;2.7e-06,Kunitz-type protease inhibitor 3;tissue factor pathway inhibitor;WAP four-disulfide core domain protein 6;Kunitz-type protease inhibitor 2;tissue factor pathway inhibitor 2,Signal peptide,1,22,1.0,evidence=ECO:0000256,101,Ornithodoros-turicata,yes,32.8
Ornithodoros-turicata_GDIE01101622.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan;nan,K23087;K23620;K23421;K03909;K23423,235.4;178.23;205.2;265.7;142.83,53.9;38.5;34.3;32.1;17.7,2.7e-14;5e-10;2.3e-08;1.1e-07;0.0047,tissue factor pathway inhibitor 2;protein AMBP;Kunitz-type protease inhibitor 2;tissue factor pathway inhibitor;Kunitz-type protease inhibitor 4,Signal peptide,1,20,0.99,evidence=ECO:0000256,156,Ornithodoros-turicata,yes,53.9
Ornithodoros-turicata_GDIE01102481.1.p1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,nan;nan;nan;nan;nan,K23624;K03909;K23087;K23621;K08117,596.23;265.7;235.4;262.23;1014.77,136.4;99.9;93.1;92.4;89.8,1.1999999999999999e-39;3e-28;3e-26;4.1e-26;2.8e-25,"papilin;tissue factor pathway inhibitor;tissue factor pathway inhibitor 2;WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein;amyloid-like protein 2",Signal peptide,1,20,1.0,evidence=ECO:0000256,243,Ornithodoros-turicata,yes,136.4
Ornithodoros-turicata_GDIC01002791.1.p1,32264.tetur04g02080.1,1.34e-102,323.0,"KOG3539@1|root,KOG3539@2759|Eukaryota,38FW7@33154|Opisthokonta,3BEQ3@33208|Metazoa,3CYKJ@33213|Bilateria,41TS9@6656|Arthropoda",6656|Arthropoda,W,Serine-type endopeptidase inhibitor activity,-,-,-,-,-,-,-,-,-,-,-,-,"Kunitz_BPTI,Reeler,Spond_N,TSP_1",*;nan;nan;nan;nan,K24427;K23421;K15619;K23087;K03909,265.57;205.20;280.47;235.40;265.70,303.8;84.8;79.3;78.3;76.6,5.1e-90;9.7e-24;4.2e-22;9.6e-22;3.5e-21,spondin-1;Kunitz-type protease inhibitor 2;Kunitz-type protease inhibitor 1;tissue factor pathway inhibitor 2;tissue factor pathway inhibitor,Chain,1,257,.,evidence=ECO:0000256,257,Ornithodoros-turicata,yes,303.8
Ornithodoros-turicata_GDIC01004927.1.p1,7739.XP_002596815.1,7.39e-17,94.4,"KOG3538@1|root,KOG4475@1|root,KOG4475@2759|Eukaryota,KOG4597@2759|Eukaryota,38EQB@33154|Opisthokonta,3BB8S@33208|Metazoa,3E52Q@33213|Bilateria,48AG4@7711|Chordata",7711|Chordata,T,serine-type endopeptidase inhibitor activity,PAPLN,"GO:0005575,GO:0005576,GO:0005604,GO:0031012,GO:0044421,GO:0062023",-,-,-,-,-,-,-,-,-,-,"ADAM_spacer1,I-set,Ig_3,Kunitz_BPTI,PLAC,Papilin_u7,TSP_1,ig",nan;nan;nan;nan;nan,K03909;K23421;K23620;K23087;K23624,265.70;205.20;178.23;235.40;596.23,133.5;115.4;107.1;103.6;100.0,1.9e-38;4.7e-33;9.2e-31;1.9e-29;1.1e-28,tissue factor pathway inhibitor;Kunitz-type protease inhibitor 2;protein AMBP;tissue factor pathway inhibitor 2;papilin,Chain,1,700,.,evidence=ECO:0000256,700,Ornithodoros-turicata,yes,133.5
