Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Organism (ID)	Proteomes	Taxonomic lineage (Ids)	AlphaFoldDB
O00487	reviewed	PSDE_HUMAN	26S proteasome non-ATPase regulatory subunit 14 (EC 3.4.19.-) (26S proteasome regulatory subunit RPN11) (26S proteasome-associated PAD1 homolog 1)	PSMD14 POH1	Homo sapiens (Human)	310	9606	UP000005640: Chromosome 2	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	O00487;
O00602	reviewed	FCN1_HUMAN	Ficolin-1 (Collagen/fibrinogen domain-containing protein 1) (Ficolin-A) (Ficolin-alpha) (M-ficolin)	FCN1 FCNM	Homo sapiens (Human)	326	9606	UP000005640: Chromosome 9	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	O00602;
O14561	reviewed	ACPM_HUMAN	Acyl carrier protein, mitochondrial (ACP) (CI-SDAP) (NADH-ubiquinone oxidoreductase 9.6 kDa subunit)	NDUFAB1	Homo sapiens (Human)	156	9606	UP000005640: Chromosome 16	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	O14561;
O14757	reviewed	CHK1_HUMAN	Serine/threonine-protein kinase Chk1 (EC 2.7.11.1) (CHK1 checkpoint homolog) (Cell cycle checkpoint kinase) (Checkpoint kinase-1)	CHEK1 CHK1	Homo sapiens (Human)	476	9606	UP000005640: Chromosome 11	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	O14757;
O14773	reviewed	TPP1_HUMAN	Tripeptidyl-peptidase 1 (TPP-1) (EC 3.4.14.9) (Cell growth-inhibiting gene 1 protein) (Lysosomal pepstatin-insensitive protease) (LPIC) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase I) (TPP-I)	TPP1 CLN2 GIG1 UNQ267/PRO304	Homo sapiens (Human)	563	9606	UP000005640: Chromosome 11	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	O14773;
O14896	reviewed	IRF6_HUMAN	Interferon regulatory factor 6 (IRF-6)	IRF6	Homo sapiens (Human)	467	9606	UP000005640: Chromosome 1	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	O14896;
O15072	reviewed	ATS3_HUMAN	A disintegrin and metalloproteinase with thrombospondin motifs 3 (ADAM-TS 3) (ADAM-TS3) (ADAMTS-3) (EC 3.4.24.-) (Procollagen II N-proteinase) (PC II-NP) (Procollagen II amino propeptide-processing enzyme)	ADAMTS3 KIAA0366	Homo sapiens (Human)	1205	9606	UP000005640: Chromosome 4	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	O15072;
O15169	reviewed	AXIN1_HUMAN	Axin-1 (Axis inhibition protein 1) (hAxin)	AXIN1 AXIN	Homo sapiens (Human)	862	9606	UP000005640: Chromosome 16	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	O15169;
O15294	reviewed	OGT1_HUMAN	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit (EC 2.4.1.255) (O-GlcNAc transferase subunit p110) (O-linked N-acetylglucosamine transferase 110 kDa subunit) (OGT)	OGT	Homo sapiens (Human)	1046	9606	UP000005640: Chromosome X	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	O15294;
O15393	reviewed	TMPS2_HUMAN	Transmembrane protease serine 2 (EC 3.4.21.122) (Serine protease 10) [Cleaved into: Transmembrane protease serine 2 non-catalytic chain; Transmembrane protease serine 2 catalytic chain]	TMPRSS2 PRSS10	Homo sapiens (Human)	492	9606	UP000005640: Chromosome 21	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	O15393;
O15530	reviewed	PDPK1_HUMAN	3-phosphoinositide-dependent protein kinase 1 (hPDK1) (EC 2.7.11.1)	PDPK1 PDK1	Homo sapiens (Human)	556	9606	UP000005640: Chromosome 16	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	O15530;
O43240	reviewed	KLK10_HUMAN	Kallikrein-10 (EC 3.4.21.-) (Normal epithelial cell-specific 1) (Protease serine-like 1)	KLK10 NES1 PRSSL1	Homo sapiens (Human)	276	9606	UP000005640: Chromosome 19	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	O43240;
O43278	reviewed	SPIT1_HUMAN	Kunitz-type protease inhibitor 1 (Hepatocyte growth factor activator inhibitor type 1) (HAI-1)	SPINT1 HAI1 UNQ223/PRO256	Homo sapiens (Human)	529	9606	UP000005640: Chromosome 15	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	O43278;
O43291	reviewed	SPIT2_HUMAN	Kunitz-type protease inhibitor 2 (Hepatocyte growth factor activator inhibitor type 2) (HAI-2) (Placental bikunin)	SPINT2 HAI2 KOP	Homo sapiens (Human)	252	9606	UP000005640: Chromosome 19	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	O43291;
O43318	reviewed	M3K7_HUMAN	Mitogen-activated protein kinase kinase kinase 7 (EC 2.7.11.25) (Transforming growth factor-beta-activated kinase 1) (TGF-beta-activated kinase 1)	MAP3K7 TAK1	Homo sapiens (Human)	606	9606	UP000005640: Chromosome 6	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	O43318;
O43432	reviewed	IF4G3_HUMAN	Eukaryotic translation initiation factor 4 gamma 3 (eIF-4-gamma 3) (eIF-4G 3) (eIF4G 3) (eIF-4-gamma II) (eIF4GII)	EIF4G3	Homo sapiens (Human)	1585	9606	UP000005640: Chromosome 1	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	O43432;
O43464	reviewed	HTRA2_HUMAN	Serine protease HTRA2, mitochondrial (EC 3.4.21.108) (High temperature requirement protein A2) (HtrA2) (Omi stress-regulated endoprotease) (Serine protease 25) (Serine proteinase OMI)	HTRA2 OMI PRSS25	Homo sapiens (Human)	458	9606	UP000005640: Chromosome 2	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	O43464;
O43827	reviewed	ANGL7_HUMAN	Angiopoietin-related protein 7 (Angiopoietin-like factor) (Angiopoietin-like protein 7) (Cornea-derived transcript 6 protein)	ANGPTL7 CDT6 UNQ313/PRO356	Homo sapiens (Human)	346	9606	UP000005640: Chromosome 1	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	O43827;
O43897	reviewed	TLL1_HUMAN	Tolloid-like protein 1 (EC 3.4.24.-)	TLL1 TLL	Homo sapiens (Human)	1013	9606	UP000005640: Chromosome 4	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	O43897;
O60235	reviewed	TM11D_HUMAN	Transmembrane protease serine 11D (EC 3.4.21.-) (Airway trypsin-like protease) [Cleaved into: Transmembrane protease serine 11D non-catalytic chain; Transmembrane protease serine 11D catalytic chain]	TMPRSS11D HAT	Homo sapiens (Human)	418	9606	UP000005640: Chromosome 4	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	O60235;
O60259	reviewed	KLK8_HUMAN	Kallikrein-8 (hK8) (EC 3.4.21.118) (Neuropsin) (NP) (Ovasin) (Serine protease 19) (Serine protease TADG-14) (Tumor-associated differentially expressed gene 14 protein)	KLK8 NRPN PRSS19 TADG14 UNQ283/PRO322	Homo sapiens (Human)	260	9606	UP000005640: Chromosome 19	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	O60259;
O60911	reviewed	CATL2_HUMAN	Cathepsin L2 (EC 3.4.22.43) (Cathepsin U) (Cathepsin V)	CTSV CATL2 CTSL2 CTSU UNQ268/PRO305	Homo sapiens (Human)	334	9606	UP000005640: Chromosome 9	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	O60911;
O75173	reviewed	ATS4_HUMAN	A disintegrin and metalloproteinase with thrombospondin motifs 4 (ADAM-TS 4) (ADAM-TS4) (ADAMTS-4) (EC 3.4.24.82) (ADMP-1) (Aggrecanase-1)	ADAMTS4 KIAA0688 UNQ769/PRO1563	Homo sapiens (Human)	837	9606	UP000005640: Chromosome 1	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	O75173;
